id;eventdate;mobile;brand;model;estimatedhours;note
1;2024-02-24T10:47:14;Μέταλο φουξια κοινότητες;ADP Εταιρείες;Φρέσκο Κατεψυγμένο;63367;../fake-data/blob/hipster.txt
2;2024-02-24T02:02:26;τιμολόγιο Σαλάτα Vincent;οθόνη backing Χειροποίητο;δριαδραστικό hack;91106;../fake-data/blob/hipster.txt
3;2024-02-24T07:12:06;παραδείγματα ταχύτητα;Turks;THX transmitting parsing;34453;../fake-data/blob/hipster.txt
4;2024-02-24T02:29:20;προϊόν;Επέκταση Λουκάνικα;Ευρώ 6η Missouri;15803;../fake-data/blob/hipster.txt
5;2024-02-24T08:42:12;Καπέλο Χειροποίητο Branding;Account;Μέταλο Alaska Ωάρι;6134;../fake-data/blob/hipster.txt
6;2024-02-24T12:19:29;πληρωμή Επόπτης;υβριδικό Σύμβουλος Γάντια;επαναπροσδιορίσει Εσωτερικό Κοτόπουλο;65883;../fake-data/blob/hipster.txt
7;2024-02-24T10:50:33;generating;Πλαστικό Sri;Algeria;65646;../fake-data/blob/hipster.txt
8;2024-02-23T20:40:13;ροζ Σύμβουλος Montserrat;Spurs Όμιλος τιμολόγιο;Σύγχρονη Απίστευτο;41957;../fake-data/blob/hipster.txt
9;2024-02-24T12:48:55;ανάληψη;Samoa μεθοδολογίες επαναλάβει;Φανταστικό Πληκτρολόγιο Forge;92908;../fake-data/blob/hipster.txt
10;2024-02-24T06:34:35;navigating διεθνές;Σπίτι λειτουργίες;Ευρώ αφιερωμένο;52059;../fake-data/blob/hipster.txt
